
starttime;duration;leaderSpeed;frameErrorRate;startBraking;value;crashed;caccC1;caccOmegaN;caccXi
2024-04-08 18:49:22;0:10:24;70;0.8;5;1.74559;2.64;0.00192214;1.97378Hz;97.782
2024-04-08 07:56:35;0:10:12;70;0.9;5;1.49357;2.48;0.024287;0.47032Hz;91.8296
2024-04-08 08:06:47;0:10:19;70;0.95;5;1.46945;2.52;0.129972;1.42186Hz;4.51484
2024-04-08 18:59:46;0:09:36;70;0.99;5;1.48833;2.52;0.889336;0.999041Hz;393.499
2024-04-08 08:22:37;0:26:58;90;0;5;1.32659;0;0.6043;1.0527Hz;630.755
2024-04-08 08:31:17;1:36:19;90;0.2;5;3.74969;0;0.299264;1.1371Hz;14.4539
2024-04-08 08:49:35;0:20:45;90;0.4;5;4.51773;0;0.00542343;1.29322Hz;658.885
2024-04-08 09:10:20;0:17:42;90;0.6;5;2.06225;0;0.336862;0.268206Hz;798.154
2024-04-08 19:09:22;0:10:52;90;0.8;5;1.74906;2.64;0.00192214;1.97378Hz;97.782
2024-04-08 09:29:45;0:10:03;90;0.9;5;1.49241;2.47;0.0274775;0.709174Hz;658.421
2024-04-08 19:20:14;0:09:48;90;0.95;5;1.47301;2.52;0.129972;1.42186Hz;4.51484
2024-04-08 09:44:24;0:09:50;90;0.99;5;1.49961;2.52;0.103989;1.46058Hz;733.675
2024-04-08 09:54:14;0:26:35;110;0;5;1.81704;0;0.968256;1.53824Hz;868.359
2024-04-08 10:07:36;1:32:45;110;0.2;5;5.45438;0;0.299264;1.1371Hz;14.4539
2024-04-08 10:20:49;0:19:37;110;0.4;5;5.94778;0;0.0816724;0.716329Hz;340.766
2024-04-08 10:40:26;0:18:41;110;0.6;5;3.38744;2.74;0.0340049;0.148769Hz;482.917
2024-04-08 10:59:07;0:10:34;110;0.8;5;1.75654;2.5;0.00793244;0.0872093Hz;394.956
2024-04-08 21:14:39;0:30:06;110;0.9;5;1.58721;2.47;0.00192214;1.97378Hz;97.782
2024-04-08 11:19:35;0:10:18;110;0.95;5;1.47582;2.52;0.129972;1.42186Hz;4.51484
2024-04-08 19:40:13;0:09:48;110;0.99;5;1.51101;2.52;0.74591;1.91833Hz;169.846
2024-04-08 11:39:59;0:26:45;130;0;5;2.58843;0;0.874282;1.80706Hz;943.519
2024-04-08 11:40:21;1:31:13;130;0.2;5;7.39981;0;0.299264;1.1371Hz;14.4539
2024-04-08 12:06:44;0:19:54;130;0.4;5;6.48471;0;0.725856;1.99692Hz;419.552
2024-04-08 12:26:38;0:19:09;130;0.6;5;3.34144;2.84;0.0463695;0.41512Hz;286.63
2024-04-08 12:45:47;0:10:23;130;0.8;5;1.7504;2.64;0.00192214;1.97378Hz;97.782
2024-04-08 21:16:08;0:09:58;130;0.9;5;1.56148;2.7;0.997064;1.80353Hz;853.914
2024-04-08 21:26:07;0:09:45;130;0.95;5;1.47091;2.52;0.129972;1.42186Hz;4.51484
2024-04-08 13:07:44;0:09:38;130;0.99;5;1.49673;2.52;0.253607;0.704132Hz;490.481
2024-04-08 13:11:34;1:49:22;150;0;5;3.20711;0;0.92431;1.72396Hz;906
2024-04-08 13:17:22;0:23:41;150;0.2;5;7.20967;0;0.492617;1.13873Hz;474.314
2024-04-08 20:08:17;0:20:48;150;0.4;5;4.7289;0;0.00613458;0.361859Hz;625.785
2024-04-08 14:01:31;0:19:13;150;0.6;5;3.31763;0;0.099543;0.90381Hz;213.508
2024-04-08 20:12:51;0:32:23;150;0.8;5;1.75603;2.5;0.00793244;0.0872093Hz;394.956
2024-04-08 14:24:13;0:10:12;150;0.9;5;1.58685;2.47;0.00192214;1.97378Hz;97.782
2024-04-08 14:34:25;0:09:48;150;0.95;5;1.47486;2.52;0.129972;1.42186Hz;4.51484
2024-04-08 14:44:13;0:09:34;150;0.99;5;1.50814;2.52;0.961303;0.418637Hz;778.349
2024-04-08 14:53:48;0:27:19;170;0;5;3.97617;0;0.879079;1.00513Hz;832.892
2024-04-08 15:00:56;1:29:18;170;0.2;5;8.97997;0;0.00613458;0.361859Hz;625.785
2024-04-08 15:21:07;0:21:20;170;0.4;5;6.55783;0;0.170563;0.470975Hz;378.326
2024-04-08 15:42:28;0:19:29;170;0.6;5;3.3128;3.17;0.0527661;1.18694Hz;177.416
2024-04-08 16:01:57;0:11:07;170;0.8;5;1.74772;2.64;0.00192214;1.97378Hz;97.782
2024-04-08 16:13:04;0:10:11;170;0.9;5;1.58625;2.47;0.00192214;1.97378Hz;97.782
2024-04-09 02:42:46;0:10:02;170;0.95;5;1.47118;2.52;0.129972;1.42186Hz;4.51484
2024-04-08 21:35:52;0:09:34;170;0.99;5;1.49391;2.52;0.671331;1.54157Hz;238.795
