
starttime;duration;leaderSpeed;frameErrorRate;startBraking;value;crashed;accLambda
2024-04-11 06:35:31;0:09:53;70;0.95;5.05;0.556834;0;
2024-04-11 06:45:24;0:09:30;70;0.99;5.05;0.556834;0;
2024-04-11 06:54:54;0:12:22;70;0;5.01;0.556834;0;
2024-04-10 13:09:38;0:11:41;70;0.2;5.01;0.556834;0;
2024-04-10 13:19:42;0:38:39;70;0.4;5.01;0.556834;0;
2024-04-11 06:57:23;0:29:32;70;0.6;5.01;0.556834;0;
2024-04-10 13:21:29;0:10:01;70;0.8;5.01;0.556834;0;
2024-04-11 14:03:58;0:10:03;70;0.9;5.01;0.556834;0;
2024-04-12 19:50:40;0:09:44;70;0.95;5.01;0.556834;0;
2024-04-10 13:41:39;0:09:28;70;0.99;5.01;0.556834;0;
2024-04-10 13:51:07;0:14:20;90;0;5;0.0712707;0;
2024-04-10 13:58:21;0:50:32;90;0.2;5;0.0712707;0;
2024-04-10 14:05:27;0:12:38;90;0.4;5;0.0712707;0;
2024-04-11 14:23:54;0:11:37;90;0.6;5;0.0712707;0;
2024-04-11 07:22:53;0:11:02;90;0.8;5;0.0712707;0;
2024-04-11 07:26:55;0:28:59;90;0.9;5;0.0712707;0;
2024-04-12 00:49:30;0:11:01;90;0.95;5;0.0712707;0;
2024-04-12 20:00:24;0:10:18;90;0.99;5;0.0712707;0;
2024-04-10 14:37:00;0:13:57;90;0;5.05;0.0712707;0;
2024-04-10 14:48:53;0:42:12;90;0.2;5.05;0.0712707;0;
2024-04-10 14:50:58;0:13:05;90;0.4;5.05;0.0712707;0;
2024-04-11 14:44:35;0:11:38;90;0.6;5.05;0.0712707;0;
2024-04-12 07:01:14;0:11:13;90;0.8;5.05;0.0712707;0;
2024-04-10 15:05:54;0:10:30;90;0.9;5.05;0.0712707;0;
2024-04-11 07:53:58;0:10:32;90;0.95;5.05;0.0712707;0;
2024-04-11 07:55:54;0:27:21;90;0.99;5.05;0.0712707;0;
2024-04-11 15:04:12;0:14:09;90;0;5.01;0.0712707;0;
2024-04-10 15:31:05;0:40:34;90;0.2;5.01;0.0712707;0;
2024-04-10 15:34:41;0:12:39;90;0.4;5.01;0.0712707;0;
2024-04-11 08:18:50;0:12:09;90;0.6;5.01;0.0712707;0;
2024-04-10 15:57:58;0:11:14;90;0.8;5.01;0.0712707;0;
2024-04-10 16:09:12;0:10:38;90;0.9;5.01;0.0712707;0;
2024-04-10 16:11:39;0:27:35;90;0.95;5.01;0.0712707;0;
2024-04-10 16:19:50;0:10:12;90;0.99;5.01;0.0712707;0;
2024-04-10 16:30:02;0:26:58;110;0;5;2.18612e-06;6.47;
2024-04-11 08:23:15;1:35:32;110;0.2;5;2.18612e-06;6.47;
2024-04-11 08:30:59;0:22:46;110;0.4;5;2.18612e-06;6.47;
2024-04-11 08:53:45;0:20:31;110;0.6;5;2.18612e-06;6.47;
2024-04-11 15:18:21;0:18:14;110;0.8;5;2.18612e-06;6.47;
2024-04-11 09:25:23;0:17:40;110;0.9;5;2.18612e-06;6.47;
2024-04-11 09:43:03;0:16:39;110;0.95;5;2.18612e-06;6.47;
2024-04-11 09:58:47;0:56:37;110;0.99;5;2.18612e-06;6.47;
2024-04-11 09:59:42;0:27:16;110;0;5.05;2.22282e-06;6.47;
2024-04-11 10:26:58;0:25:04;110;0.2;5.05;2.22282e-06;6.47;
2024-04-11 10:52:02;0:23:05;110;0.4;5.05;2.22282e-06;6.47;
2024-04-11 10:55:24;1:16:38;110;0.6;5.05;2.22282e-06;6.47;
