Iterations; Iterationswithoutimprovement; Evaluations;caccC1; caccOmegaN; caccXi
146; 135; 584;0.84232; 0.0142513; 115.345
147; 136; 584;0.84232; 0.0142513; 115.345
147; 136; 588;0.84232; 0.0142513; 115.345
147; 136; 588;0.84232; 0.0142513; 115.345
148; 137; 588;0.84232; 0.0142513; 115.345
148; 137; 592;0.84232; 0.0142513; 115.345
148; 137; 592;0.84232; 0.0142513; 115.345
149; 138; 592;0.84232; 0.0142513; 115.345
149; 138; 596;0.84232; 0.0142513; 115.345
149; 138; 596;0.84232; 0.0142513; 115.345
150; 139; 596;0.84232; 0.0142513; 115.345
150; 139; 600;0.84232; 0.0142513; 115.345
150; 139; 600;0.84232; 0.0142513; 115.345
151; 140; 600;0.84232; 0.0142513; 115.345
151; 140; 604;0.84232; 0.0142513; 115.345
151; 140; 604;0.84232; 0.0142513; 115.345
152; 141; 604;0.84232; 0.0142513; 115.345
152; 141; 608;0.84232; 0.0142513; 115.345
152; 141; 608;0.84232; 0.0142513; 115.345
153; 142; 608;0.84232; 0.0142513; 115.345
153; 142; 612;0.84232; 0.0142513; 115.345
153; 142; 612;0.84232; 0.0142513; 115.345
154; 143; 612;0.84232; 0.0142513; 115.345
154; 143; 616;0.84232; 0.0142513; 115.345
154; 143; 616;0.84232; 0.0142513; 115.345
155; 144; 616;0.84232; 0.0142513; 115.345
155; 144; 620;0.84232; 0.0142513; 115.345
155; 144; 620;0.84232; 0.0142513; 115.345
156; 145; 620;0.84232; 0.0142513; 115.345
156; 145; 624;0.84232; 0.0142513; 115.345
156; 145; 624;0.84232; 0.0142513; 115.345
157; 146; 624;0.84232; 0.0142513; 115.345
157; 146; 628;0.84232; 0.0142513; 115.345
157; 146; 628;0.84232; 0.0142513; 115.345
158; 147; 628;0.84232; 0.0142513; 115.345
158; 147; 632;0.84232; 0.0142513; 115.345
158; 147; 632;0.84232; 0.0142513; 115.345
159; 148; 632;0.84232; 0.0142513; 115.345
159; 148; 636;0.84232; 0.0142513; 115.345
159; 148; 636;0.84232; 0.0142513; 115.345
160; 149; 636;0.84232; 0.0142513; 115.345
160; 149; 640;0.84232; 0.0142513; 115.345
160; 149; 640;0.84232; 0.0142513; 115.345
161; 150; 640;0.84232; 0.0142513; 115.345
161; 150; 644;0.84232; 0.0142513; 115.345
161; 150; 644;0.84232; 0.0142513; 115.345
162; 151; 644;0.84232; 0.0142513; 115.345
162; 151; 648;0.84232; 0.0142513; 115.345
162; 151; 648;0.84232; 0.0142513; 115.345
163; 152; 648;0.84232; 0.0142513; 115.345
163; 152; 652;0.84232; 0.0142513; 115.345
163; 152; 652;0.84232; 0.0142513; 115.345
164; 153; 652;0.84232; 0.0142513; 115.345
164; 153; 656;0.84232; 0.0142513; 115.345
164; 153; 656;0.84232; 0.0142513; 115.345
165; 154; 656;0.84232; 0.0142513; 115.345
165; 154; 660;0.84232; 0.0142513; 115.345
165; 154; 660;0.84232; 0.0142513; 115.345
166; 155; 660;0.84232; 0.0142513; 115.345
166; 155; 664;0.84232; 0.0142513; 115.345
166; 155; 664;0.84232; 0.0142513; 115.345
167; 156; 664;0.84232; 0.0142513; 115.345
167; 156; 668;0.84232; 0.0142513; 115.345
167; 156; 668;0.84232; 0.0142513; 115.345
168; 157; 668;0.84232; 0.0142513; 115.345
168; 157; 672;0.84232; 0.0142513; 115.345
