Iterations; Iterationswithoutimprovement; Evaluations;caccC1; caccOmegaN; caccXi
89; 76; 356;0.763566; 1.0669; 9.39979
90; 77; 356;0.763566; 1.0669; 9.39979
90; 77; 360;0.763566; 1.0669; 9.39979
90; 77; 360;0.763566; 1.0669; 9.39979
91; 78; 360;0.763566; 1.0669; 9.39979
91; 78; 364;0.763566; 1.0669; 9.39979
91; 78; 364;0.763566; 1.0669; 9.39979
92; 79; 364;0.763566; 1.0669; 9.39979
92; 79; 368;0.763566; 1.0669; 9.39979
92; 79; 368;0.763566; 1.0669; 9.39979
93; 80; 368;0.763566; 1.0669; 9.39979
93; 80; 372;0.763566; 1.0669; 9.39979
93; 80; 372;0.763566; 1.0669; 9.39979
94; 81; 372;0.763566; 1.0669; 9.39979
94; 81; 376;0.763566; 1.0669; 9.39979
94; 81; 376;0.763566; 1.0669; 9.39979
95; 82; 376;0.763566; 1.0669; 9.39979
95; 82; 380;0.763566; 1.0669; 9.39979
95; 82; 380;0.763566; 1.0669; 9.39979
96; 83; 380;0.763566; 1.0669; 9.39979
96; 83; 384;0.763566; 1.0669; 9.39979
96; 83; 384;0.763566; 1.0669; 9.39979
97; 84; 384;0.763566; 1.0669; 9.39979
97; 84; 388;0.763566; 1.0669; 9.39979
97; 84; 388;0.763566; 1.0669; 9.39979
98; 85; 388;0.763566; 1.0669; 9.39979
98; 85; 392;0.763566; 1.0669; 9.39979
98; 85; 392;0.763566; 1.0669; 9.39979
99; 86; 392;0.763566; 1.0669; 9.39979
99; 86; 396;0.763566; 1.0669; 9.39979
99; 86; 396;0.763566; 1.0669; 9.39979
100; 87; 396;0.763566; 1.0669; 9.39979
100; 87; 400;0.763566; 1.0669; 9.39979
100; 87; 400;0.763566; 1.0669; 9.39979
101; 88; 400;0.763566; 1.0669; 9.39979
101; 88; 404;0.763566; 1.0669; 9.39979
101; 88; 404;0.763566; 1.0669; 9.39979
102; 89; 404;0.763566; 1.0669; 9.39979
102; 89; 408;0.763566; 1.0669; 9.39979
102; 89; 408;0.763566; 1.0669; 9.39979
103; 90; 408;0.763566; 1.0669; 9.39979
103; 90; 412;0.763566; 1.0669; 9.39979
103; 90; 412;0.763566; 1.0669; 9.39979
104; 91; 412;0.763566; 1.0669; 9.39979
104; 91; 416;0.763566; 1.0669; 9.39979
104; 91; 416;0.763566; 1.0669; 9.39979
105; 92; 416;0.763566; 1.0669; 9.39979
105; 92; 420;0.763566; 1.0669; 9.39979
105; 92; 420;0.763566; 1.0669; 9.39979
106; 93; 420;0.763566; 1.0669; 9.39979
106; 93; 424;0.763566; 1.0669; 9.39979
106; 93; 424;0.763566; 1.0669; 9.39979
107; 94; 424;0.763566; 1.0669; 9.39979
107; 94; 428;0.763566; 1.0669; 9.39979
107; 94; 428;0.763566; 1.0669; 9.39979
108; 95; 428;0.763566; 1.0669; 9.39979
108; 95; 432;0.763566; 1.0669; 9.39979
108; 95; 432;0.763566; 1.0669; 9.39979
109; 96; 432;0.763566; 1.0669; 9.39979
109; 96; 436;0.763566; 1.0669; 9.39979
109; 96; 436;0.763566; 1.0669; 9.39979
110; 97; 436;0.763566; 1.0669; 9.39979
110; 97; 440;0.763566; 1.0669; 9.39979
110; 97; 440;0.763566; 1.0669; 9.39979
111; 98; 440;0.763566; 1.0669; 9.39979
111; 98; 444;0.763566; 1.0669; 9.39979
111; 98; 444;0.763566; 1.0669; 9.39979
112; 99; 444;0.763566; 1.0669; 9.39979
112; 99; 448;0.763566; 1.0669; 9.39979
112; 99; 448;0.763566; 1.0669; 9.39979
113; 100; 448;0.763566; 1.0669; 9.39979
